#Time(0),Type(1),X(2),Y(3),Param4,Param5,Param6,Param7,Param8,Param9,Param10
,,,,,,,,,,
2.5,Bird2,Right,96,1.6,,,,,,
0.3,Bird2,Right,104,1.5,,,,,,
0,Bird2,Right,88,1.5,,,,,,
,,,,,,,,,,
0.5,Bird2,Right,48,1.6,,,,,,
0.3,Bird2,Right,56,1.5,,,,,,
0,Bird2,Right,40,1.5,,,,,,
,,,,,,,,,,
1,Bird2,Right,72,1.6,,,,,,
0.3,Bird2,Right,80,1.5,,,,,,
0,Bird2,Right,64,1.5,,,,,,
,,,,,,,,,,
1,Bird2,Right,96,1.6,,,,,,
0.3,Bird2,Right,104,1.5,,,,,,
0,Bird2,Right,88,1.5,,,,,,
,,,,,,,,,,
0.5,Bird2,Right,48,1.6,,,,,,
0.3,Bird2,Right,56,1.5,,,,,,
0,Bird2,Right,40,1.5,,,,,,
,,,,,,,,,,
2,GenBird2,Right,Random,3,0.7,1.8,,,,
0.3,GenBird1,Right,Random,3,0.7,2.4,,,,
3.5,GenBird2,Right,Random,3,0.7,1.8,,,,
0.3,GenBird1,Right,Random,3,0.7,2.4,,,,
3.5,GenBird2,Right,Random,5,0.6,1.9,,,,
0.3,GenBird1,Right,Random,5,0.7,2.2,,,,
,,,,,,,,,,
6.5,,,,,,,,,,
:Stage2-GF,,,,,,,,,,
0,GenJellyFish1,Random,Bottom,6,1.1,,,,,
,,,,,,,,,,
9.5,Bird1,Right,112,2,18,,,,,
0.3,Bird1,Right,120,1.95,24,,,,,
0,Bird1,Right,104,1.95,24,,,,,
,,,,,,,,,,
0.7,Bird1,Right,88,2,18,,,,,
0.3,Bird1,Right,96,1.95,24,,,,,
0,Bird1,Right,80,1.95,24,,,,,
,,,,,,,,,,
0.7,Bird1,Right,64,2,18,,,,,
0.3,Bird1,Right,72,1.95,24,,,,,
0,Bird1,Right,56,1.95,24,,,,,
,,,,,,,,,,
0.7,Bird1,Right,40,2,18,,,,,
0.3,Bird1,Right,48,1.95,24,,,,,
0,Bird1,Right,32,1.95,24,,,,,
,,,,,,,,,,
1.5,Bird1,Right,112,2,18,,,,,
0.3,Bird1,Right,120,1.95,24,,,,,
0,Bird1,Right,104,1.95,24,,,,,
,,,,,,,,,,
0.7,Bird1,Right,88,2,18,,,,,
0.3,Bird1,Right,96,1.95,24,,,,,
0,Bird1,Right,80,1.95,24,,,,,
,,,,,,,,,,
0.7,Bird1,Right,64,2,18,,,,,
0.3,Bird1,Right,72,1.95,24,,,,,
0,Bird1,Right,56,1.95,24,,,,,
,,,,,,,,,,
0.7,Bird1,Right,40,2,18,,,,,
0.3,Bird1,Right,48,1.95,24,,,,,
0,Bird1,Right,32,1.95,24,,,,,
,,,,,,,,,,
3,,,,,,,,,,
:Stage2-GF2,,,,,,,,,,
0,GenJellyFish1,Random,Bottom,5.5,0.7,,,,,
3,GenBird1,Right,48,7,0.55,2.1,24,,,
,,,,,,,,,,
6,,,,,,,,,,
:Stage2-GF3,,,,,,,,,,
0,GenJellyFish1,Random,Bottom,6,0.6,,,,,
3,GenBird1,Right,72,7.5,0.5,2.1,26,,,
,,,,,,,,,,
8.5,,,,,,,,,,
:Stage2-BB,,,,,,,,,,
0,BirdB1,120,Top,140,,,,,,
1,BirdB1,120,Top,260,,,,,,
1,BirdB1,120,Top,200,,,,,,
,,,,,,,,,,
0.5,GenBird1,Right,56,5,0.6,2.1,26,,,
0,GenBird1,Right,88,5,0.6,2.1,26,,,
,,,,,,,,,,
1,BirdB1,110,Top,200,,,,,,
1,BirdB1,110,Top,260,,,,,,
1,BirdB1,110,Top,140,,,,,,
,,,,,,,,,,
:Stage2-F,,,,,,,,,,
2,GenBird2,Right,Random,5,0.6,2,,,,
0.3,GenBird1,Right,Random,5,0.5,2.3,20,,,
,,,,,,,,,,
6,Bird1,Right,72,1.8,28,,,,,
0.3,Bird1,Right,64,1.8,28,,,,,
0,Bird1,Right,80,1.8,28,,,,,
0.3,Bird1,Right,48,1.8,28,,,,,
0,Bird1,Right,96,1.8,28,,,,,
0.3,Bird1,Right,32,1.8,28,,,,,
0,Bird1,Right,112,1.8,28,,,,,
0.3,Bird1,Right,16,1.8,28,,,,,
0,Bird1,Right,128,1.8,28,,,,,
,,,,,,,,,,
0.5,Bird1,Right,72,1.9,30,,,,,
0.3,Bird1,Right,64,1.9,30,,,,,
0,Bird1,Right,80,1.9,30,,,,,
0.3,Bird1,Right,48,1.9,30,,,,,
0,Bird1,Right,96,1.9,30,,,,,
0.3,Bird1,Right,32,1.9,30,,,,,
0,Bird1,Right,112,1.9,30,,,,,
0.3,Bird1,Right,16,1.9,30,,,,,
0,Bird1,Right,128,1.9,30,,,,,
,,,,,,,,,,
5,Goto,,,Stage3,,,,,,
,,,,,,,,,,
:TempStage2,,,,,,,,,,
0,StageTitle,,,2,,,,,,
0,BGDark1,,,,,,,,,
3,BGRain1,,,,,,,,,
5,,,,,,,,,,
:Stage3,,,,,,,,,,
0,StageTitle,,,3,,,,,,
1,BGRainEnd,,,,,,,,,
#0.5,BGDarkEnd,,,,,,,,,
0,NightSky1,,,,,,,,,
,,,,,,,,,,
:Stage3-0,,,,,,,,,,
3,GenBird2,Right,Random,5,0.6,2,,,,
0.3,GenBird1,Right,Random,5,0.5,2.3,20,,,
,,,,,,,,,,
5,GenBird1,Right,48,4,0.5,2.1,26,,,
0,GenBird1,Right,96,4,0.5,2.1,26,,,
1.5,Bat1,135,Top,72,,,,,,
,,,,,,,,,,
4,GenBird2,Right,96,4,0.5,2,,,,
1.5,Bat1,135,Top,48,,,,,,
,,,,,,,,,,
3.8,GenBird1,Right,Random,5,0.4,2.3,20,,,
0.2,GenBird2,Right,48,4,0.5,2,,,,
1.5,Bat1,135,Top,96,,,,,,
,,,,,,,,,,
4.5,GenBird2,Right,Random,3,0.5,2.1,,,,
0.5,GenBird1,Right,Random,3,0.5,2.1,24,,,
,,,,,,,,,,
3.5,,,,,,,,,,
:Stage3-1,,,,,,,,,,
0,BirdB1,120,Top,200,,,,,,
0.8,BirdB1,120,Top,260,,,,,,
0,BirdB1,120,Top,140,,,,,,
,,,,,,,,,,
1,Bat1,120,Top,72,,,,,,
,,,,,,,,,,
1,BirdB1,120,Top,200,,,,,,
0.4,BirdB1,120,Top,280,,,,,,
0,BirdB1,120,Top,120,,,,,,
,,,,,,,,,,
1,Bat1,130,Top,48,,,,,,
0.5,Bat1,130,Top,96,,,,,,
,,,,,,,,,,
1.8,BirdB1,135,Top,200,,,,,,
0.2,BirdB1,135,Top,260,,,,,,
0,BirdB1,135,Top,140,,,,,,
,,,,,,,,,,
1,Bat1,120,Top,72,,,,,,
,,,,,,,,,,
1,BirdB1,120,Top,200,,,,,,
0,BirdB1,120,Top,280,,,,,,
0,BirdB1,120,Top,120,,,,,,
,,,,,,,,,,
1.5,GenBird2,Right,Random,3,0.4,2.2,,,,
0.2,GenBird1,Right,Random,3,0.4,2,30,,,
,,,,,,,,,,
3.2,Bird3,Right,72,,,,,,,
0.8,Bird3,Right,32,,,,,,,
0,Bird3,Right,112,,,,,,,
,,,,,,,,,,
1.5,Bird1,Right,72,1.9,30,,,,,
0.3,Bird1,Right,64,1.9,30,,,,,
0,Bird1,Right,80,1.9,30,,,,,
0.3,Bird1,Right,48,1.9,30,,,,,
0,Bird1,Right,96,1.9,30,,,,,
0.3,Bird1,Right,32,1.9,30,,,,,
0,Bird1,Right,112,1.9,30,,,,,
0.3,Bird1,Right,16,1.9,30,,,,,
0,Bird1,Right,128,1.9,30,,,,,
,,,,,,,,,,
0.5,Bird3,Right,32,,,,,,,
0,Bird3,Right,112,,,,,,,
0.5,Bird3,Right,72,,,,,,,
0.5,Bird3,Right,32,,,,,,,
0.5,Bird3,Right,112,,,,,,,
,,,,,,,,,,
2,,,,,,,,,,
:Stage3-2,,,,,,,,,,
0,Bird4,Right,72,,,,,,,
,,,,,,,,,,
5,GenBird1,Right,96,4,0.4,2,30,,,
0.5,Bird4,Right,48,,,,,,,
,,,,,,,,,,
5,GenBird2,Right,48,4,0.35,2.1,,,,
0.5,Bird4,Right,96,,,,,,,
,,,,,,,,,,
4.5,Bird4,Right,48,,,,,,,
0,Bird4,Right,96,,,,,,,
,,,,,,,,,,
3,Bird4,Right,72,,,,,,,
3,Bird4,Right,48,,,,,,,
0,Bird4,Right,96,,,,,,,
1,GenBird2,Right,32,4,0.4,2.1,,,,
0,GenBird2,Right,112,4,0.4,2.1,,,,
,,,,,,,,,,
:TempTitle,,,,,,,,,,
4,StageTitle,,,3,,,,,,
